,measure_id,measure_name,location_id,location_name.x,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,val_pop,upper_pop,lower_pop,age_standard_pop_proportion,age_standard_pop_ratio,location_name,age_median
33,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,12,35-39 years,332,Meningitis,1,Number,2021,379583.724753561,442020.5419,340772.188333179,560866105.914554,578297964.608428,544251815.345755,6.82805,6.83,Global,37
34,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,13,40-44 years,332,Meningitis,1,Number,2021,333482.982646744,380482.911806086,300123.424423837,500250795.605694,515432478.206861,485928430.82182,6.14735,6.15,Global,42
35,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,14,45-49 years,332,Meningitis,1,Number,2021,327726.133510555,380104.35871491,293910.066336091,473504625.903218,487919674.240222,460213135.719539,5.51133,5.51,Global,47
36,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,15,50-54 years,332,Meningitis,1,Number,2021,290801.979139585,333846.283773464,262182.751006045,444922982.841121,458714304.258768,432300957.286386,4.91312,4.91,Global,52
37,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,16,55-59 years,332,Meningitis,1,Number,2021,267658.190515712,305442.341828129,242925.223353748,395728004,407669300.348216,384764582.368839,4.34586,4.35,Global,57
38,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,17,60-64 years,332,Meningitis,1,Number,2021,209072.743932869,234723.964734042,190590.215018235,320047853.312832,329387624.27068,311524379.587396,3.68223,3.68,Global,62
39,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,18,65-69 years,332,Meningitis,1,Number,2021,183687.290309593,205661.272327917,168962.89834527,275842158.522357,284217678.194795,268116931.088218,2.98509,2.99,Global,67
40,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,19,70-74 years,332,Meningitis,1,Number,2021,160418.540834084,178395.089097869,147405.105253559,205839220.385999,211972020.164289,200406728.542811,2.26526,2.27,Global,72
41,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,20,75-79 years,332,Meningitis,1,Number,2021,98440.0623685586,108652.139064145,91111.5845847169,131884404.580217,135613447.4,128518633.372437,1.59758,1.6,Global,77
42,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,30,80-84 years,332,Meningitis,1,Number,2021,74347.6244659814,81844.2768251836,67513.2203171192,87583056.918491,89948887.7796038,85481848.25,1.09729,1.1,Global,82
43,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,31,85-89 years,332,Meningitis,1,Number,2021,36852.2148389912,40360.8274186578,32325.4393626662,45721791.0517717,46852862.726504,44709230.7009568,0.604519,0.6,Global,87
44,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,32,90-94 years,332,Meningitis,1,Number,2021,15118.1389885123,16621.8326572884,12859.6117235825,17889373.591415,18289317.0157285,17518670.986049,0.246663,0.25,Global,92
45,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,235,95+ years,332,Meningitis,1,Number,2021,5441.35095859784,6125.750814,4269.33277366375,5450308.67493343,5569992.58267677,5337366.13587716,0.0785092,0.08,Global,97
